SeqName	length	bit-score	eValue	hitName	GOs	ACC
contig_1683	674	36.965	4.80348	gb|KAF8388637.1|hypothetical protein HHK36_027314 [Tetracentron sinense]	GO:0009097, GO:0005737, GO:1990610, GO:0050790, GO:0009099, GO:0008652, GO:0009082	A0A835D5F2	
contig_2675	529	243.047	2.22512E-75	gb|KAF1856437.1|hypothetical protein Lal_00049039 [Lupinus albus]	GO:0009097, GO:0016836, GO:0003824, GO:0046872, GO:0004160, GO:0009099, GO:0016829, GO:0008652, GO:0051537, GO:0009082, GO:0051536	A0A6A5L4F1	
contig_1778	606	231.876	9.1342E-74	gb|KAF1853103.1|hypothetical protein Lal_00009463 [Lupinus albus]	GO:0052655, GO:0009098, GO:0009097, GO:0052656, GO:0052654, GO:0004084, GO:0003824, GO:0009099, GO:0008652, GO:0009082, GO:0009081	A0A6A5L0N5	
contig_1620	533	36.5798	3.69878	gb|KAG0454466.1|hypothetical protein HPP92_023758 [Vanilla planifolia]	GO:0004084, GO:0003824, GO:0008483, GO:0008652, GO:0016740, GO:0009082, GO:0009081	A0A835UCN2	
contig_178	573	162.155	1.82676E-43	gb|KAF1853097.1|hypothetical protein Lal_00009457 [Lupinus albus]	GO:0004107, GO:0009073, GO:0140824, GO:0016829, GO:0009423, GO:0008652, GO:0098869	A0A6A5KU60	
contig_644	671	58.9214	1.40185E-7	gb|KAF1858384.1|hypothetical protein Lal_00014892 [Lupinus albus]	GO:0009073, GO:0050661, GO:0009423, GO:0019632, GO:0008652, GO:0004764	A0A6A5L794	
contig_1251	550	80.1073	4.50173E-15	gb|PRW61501.1|Arogenate dehydratase prephenate dehydratase chloroplastic [Chlorella sorokiniana]	GO:0009570, GO:0009073, GO:0009507, GO:0016829, GO:0008652, GO:0004664, GO:0009094, GO:0047769, GO:0009536	A0A2P6U5A5	
contig_1508	693	75.485	1.96455E-13	gb|OMP13755.1|Bacterial glucose/galactose transporter, partial [Corchorus olitorius]	GO:0016020, GO:0016021, GO:1904659, GO:0008643, GO:0005355, GO:0005354, GO:0015757, GO:0005886	A0A1R3L338	
contig_2920	634	36.5798	3.8977	gb|OMP13755.1|Bacterial glucose/galactose transporter, partial [Corchorus olitorius]	GO:0016020, GO:0016021, GO:1904659, GO:0008643, GO:0005355, GO:0005354, GO:0015757, GO:0005886	A0A1R3L338	
contig_1554	509	41.9726	0.0602091	gb|KAF1858254.1|hypothetical protein Lal_00014755 [Lupinus albus]	GO:0016746, GO:0044255, GO:0016020, GO:0016021, GO:1901137, GO:0008610, GO:0016740, GO:0044249, GO:0005886	A0A6A5L6W4	
contig_815	509	77.0258	8.61071E-15	dbj|GFC94097.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0000166, GO:0016407, GO:0016020, GO:0016021, GO:0008610, GO:0008654, GO:0016310, GO:0016740, GO:0016301, GO:0005524, GO:0005886	A0A699SA03	
contig_1937	542	112.849	3.39004E-29	gb|AHI49900.1|membrane protein, partial [Lavandula angustifolia]	GO:0005506, GO:0016491, GO:0016020, GO:0016021, GO:0008610	W6A1T3	
contig_1995	935	120.553	1.3366E-28	gb|KAF2282123.1|hypothetical protein GH714_042947 [Hevea brasiliensis]	GO:0008360, GO:0051301, GO:0016020, GO:0016021	A0A6A6K1B2	
contig_1768	640	95.9005	6.01275E-20	dbj|GEU28071.1|probable solanesyl-diphosphate synthase 3, chloroplastic [Tanacetum cinerariifolium]	GO:0008299, GO:0016020, GO:0016021, GO:0019432	A0A699GEN2	
contig_2486	608	170.629	2.10821E-48	gb|EEF25361.1|3-hydroxy-3-methylglutaryl-coenzyme A reductase, putative [Ricinus communis]	GO:0005789, GO:0016616, GO:0008299, GO:0016491, GO:0016020, GO:0016021, GO:0004420, GO:0015936, GO:0005783	B9TFK3	
contig_414	617	172.555	1.07127E-47	gb|KAF1852504.1|hypothetical protein Lal_00037238 [Lupinus albus]	GO:0052865, GO:0008299, GO:0046872, GO:0003824, GO:0008661, GO:0016740, GO:0016114, GO:0009228	A0A6A5KNJ0	
contig_325	505	301.597	2.29368E-103	gb|OMP11748.1|Polyprenyl synthetase [Corchorus olitorius]	GO:0008299	A0A1R3KXJ4	
contig_931	666	93.5893	1.83994E-19	gb|KAF1857937.1|hypothetical protein Lal_00010448 [Lupinus albus]	GO:0008152, GO:0016779, GO:0003824, GO:0046872, GO:0008299, GO:0019288, GO:0016829, GO:0070567, GO:0050518, GO:0016740, GO:0008685, GO:0016114	A0A6A5L9A0	
contig_1870	521	189.119	6.83159E-56	gb|KAF1857811.1|hypothetical protein Lal_00041283 [Lupinus albus]	GO:0008152, GO:0016779, GO:0003824, GO:0046872, GO:0008299, GO:0019288, GO:0016829, GO:0050518, GO:0070567, GO:0008685, GO:0016740, GO:0016114	A0A6A5L960	
contig_2754	528	36.965	2.11986	ref|NP_179046.1|uncharacterized protein AT2G14390 [Arabidopsis thaliana]	GO:0008150, GO:0005575, GO:0003674	Q9ZQ68	
contig_1861	502	47.3654	2.54625E-4	ref|XP_001421060.1|predicted protein [Ostreococcus lucimarinus CCE9901]	GO:0090305, GO:0090501, GO:0004526, GO:0090502, GO:0004518, GO:0008033, GO:0004519, GO:0000049, GO:0016787	A4S6A8	
contig_2475	574	49.2914	2.48783E-4	ref|XP_007509953.1|ribonuclease Z [Bathycoccus prasinos]	GO:0042779, GO:0090502, GO:0046872, GO:0004518, GO:0008033, GO:0004519, GO:0016891, GO:0016787	K8FBQ5	
contig_2642	519	41.2022	0.0842379	gb|EPS60248.1|hypothetical protein M569_14556 [Genlisea aurea]	GO:0061708, GO:0008033, GO:0016740	S8DBX0	
contig_284	501	203.371	2.45869E-62	dbj|GFB80798.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0005737, GO:0009507, GO:0046872, GO:0016491, GO:0008033, GO:0016020, GO:0009579, GO:0051536, GO:0009536	A0A699MKI7	
contig_1646	506	323.168	7.1607E-109	gb|KAF1853119.1|hypothetical protein Lal_00009479 [Lupinus albus]	GO:0003723, GO:0061708, GO:0008033, GO:0016783, GO:0016740, GO:0000049	A0A6A5KWY3	
contig_2974	674	38.5058	0.837754	emb|CAB4286470.1|unnamed protein product [Prunus armeniaca]	GO:0007346	A0A6J5VBV3	
contig_2606	745	50.0618	1.37149E-5	dbj|GFD60358.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0007155, GO:0005509	A0A699XQX6	
contig_1766	504	44.2838	0.00780256	ref|XP_003074160.1|Tetratricopeptide repeat [Ostreococcus tauri]	GO:0005737, GO:0051301, GO:0005680, GO:0045842, GO:0031145, GO:0007091, GO:0016567	A0A454Y3H3, Q5SCA1	
contig_2796	652	160.229	1.33185E-42	gb|EEF27909.1|conserved hypothetical protein [Ricinus communis]	GO:0007059, GO:0005694	B9T8B0	
contig_2852	879	38.1206	1.2514	tpg|DAD40986.1|TPA_asm: hypothetical protein HUJ06_015309 [Nelumbo nucifera]	GO:0051301, GO:0007049	A0A822ZD79	
contig_992	878	36.5798	10.3712	gb|KAG6478024.1|hypothetical protein ZIOFF_061456 [Zingiber officinale]	GO:0003777, GO:0008017, GO:0005524, GO:0007018	A0A8J5F8I8	
contig_620	593	39.6614	0.451736	gb|AQK48703.1|P-loop containing nucleoside triphosphate hydrolase superfamily protein [Zea mays]	GO:0000166, GO:0003777, GO:0008017, GO:0005874, GO:0003774, GO:0016787, GO:0005524, GO:0007018	A0A1D6PPD6	
contig_856	543	34.6538	19.3317	ref|XP_019708662.1|kinesin-like protein KIN-14Q [Elaeis guineensis]	GO:0000166, GO:0003777, GO:0008017, GO:0005874, GO:0005524, GO:0003774, GO:0007018	A0A6J0PN54	
contig_903	559	34.2686	24.2311	gb|PAN30259.1|hypothetical protein PAHAL_5G354900 [Panicum hallii]	GO:0000166, GO:0003777, GO:0008017, GO:0005874, GO:0003774, GO:0005524, GO:0007018	A0A2S3HUR6	
contig_3336	519	39.6614	0.331113	gb|ONM17345.1|Kinesin-like protein KIN-7C mitochondrial [Zea mays]	GO:0000166, GO:0003777, GO:0008017, GO:0005874, GO:0005524, GO:0003774, GO:0007018	A0A1D6EAD5	
contig_2414	599	239.58	7.02343E-73	gb|KAF1857494.1|hypothetical protein Lal_00042813 [Lupinus albus]	GO:0031419, GO:0005525, GO:0000166, GO:0004845, GO:0003824, GO:0044211, GO:0004849, GO:0016310, GO:0016740, GO:0016301, GO:0016866, GO:0008152, GO:0016757, GO:1901564, GO:0005874, GO:0044206, GO:0044238, GO:0005524, GO:0007017	A0A6A5L4J8	
contig_1207	591	120.553	7.96642E-29	dbj|GEU28334.1|glutathione peroxidase [Tanacetum cinerariifolium]	GO:0004602, GO:0006979, GO:0004601, GO:0016491, GO:0098869	A0A699GEL5	
contig_1957	541	136.732	1.14943E-38	gb|KAF1856415.1|hypothetical protein Lal_00048590, partial [Lupinus albus]	GO:0006979, GO:0004602, GO:0004601, GO:0016491, GO:0098869	A0A6A5LAC6	
contig_106	535	37.3502	1.96139	gb|TVU37647.1|hypothetical protein EJB05_10973, partial [Eragrostis curvula]	GO:0006979, GO:0004601, GO:0046872, GO:0016491, GO:0140825, GO:0020037, GO:0098869, GO:0005576, GO:0042744	A0A5J9VQ23	
contig_1390	500	40.0466	0.226762	gb|RWR80879.1|Plant peroxidase [Cinnamomum micranthum f. kanehirae]	GO:0006979, GO:0004601, GO:0046872, GO:0016491, GO:0140825, GO:0020037, GO:0098869, GO:0042744	A0A443NQT2	
contig_1078	565	108.227	1.09983E-24	gb|KAF1856730.1|hypothetical protein Lal_00045260 [Lupinus albus]	GO:0006979, GO:0004601, GO:0046872, GO:0016491, GO:0004096, GO:0020037, GO:0098869, GO:0042744	A0A6A5LA31	
contig_2958	636	147.902	2.59601E-38	gb|KAF1857077.1|hypothetical protein Lal_00043181 [Lupinus albus]	GO:0006979, GO:0004601, GO:0046872, GO:0016491, GO:0004096, GO:0020037, GO:0098869, GO:0042744	A0A6A5L679	
contig_1906	596	30.0314	4.94332	ref|XP_010911591.1|uncharacterized protein LOC105037645 [Elaeis guineensis]	GO:0005634, GO:0006974	A0A6I9QNY2	
contig_119	570	38.5058	1.18592	gb|PIM98220.1|Apoptotic ATPase [Handroanthus impetiginosus]	GO:0043531, GO:0051707, GO:0006952	A0A2G9FYT9	
contig_147	598	35.039	18.5447	gb|EEC69279.1|hypothetical protein OsI_38330 [Oryza sativa Indica Group]	GO:0043531, GO:0051707, GO:0006952	B8BPN1	
contig_527	775	36.1946	14.3159	gb|AVR48497.1|putative disease resistance protein RPP13 [Aegilops tauschii subsp. tauschii]	GO:0043531, GO:0051707, GO:0006952	A0A2R3ZDK1	
contig_1133	703	36.1946	10.9592	gb|KAB2032923.1|hypothetical protein ES319_D05G412300v1 [Gossypium barbadense]	GO:0043531, GO:0051707, GO:0006952	A0A5J5RP41	
contig_2069	533	38.1206	1.19303	emb|CAD6252759.1|unnamed protein product [Miscanthus lutarioriparius]	GO:0043531, GO:0051707, GO:0006952	A0A811Q6A3	
contig_2118	775	36.1946	14.2297	ref|XP_021810687.1|putative disease resistance protein RGA3 [Prunus avium]	GO:0043531, GO:0051707, GO:0006952	A0A6P5S853	
contig_2164	562	35.039	7.87183	emb|SMC15612.1|pathogenesis-related protein 10 [Vicia faba]	GO:0009607, GO:0009738, GO:0038023, GO:0043086, GO:0010427, GO:0004864, GO:0006952	A0A1X7BYR4	
contig_3210	514	37.7354	1.58545	gb|RDX89367.1|Diacylglycerol kinase 1, partial [Mucuna pruriens]	GO:0000166, GO:0007165, GO:0016020, GO:0016021, GO:0004143, GO:0016310, GO:0016740, GO:0016301, GO:0005524, GO:0007205, GO:0006952	A0A371GFM4	
contig_1765	532	38.1206	1.17147	gb|KAE8669362.1|hypothetical protein F3Y22_tig00112249pilonHSYRG00359 [Hibiscus syriacus]	GO:0007165, GO:0016020, GO:0016021, GO:0043531, GO:0006952	A0A6A2X352	
contig_1201	547	36.965	2.85359	dbj|BBG94155.1|transmembrane receptor [Prunus dulcis]	GO:0007165, GO:0016021, GO:0043531, GO:0006952	A0A4Y1QQL0	
contig_2434	771	36.965	6.83678	dbj|GAU10036.1|hypothetical protein TSUD_414850 [Trifolium subterraneum]	GO:0007165, GO:0043531, GO:0006952	A0A1B5Z7E6	
contig_1618	562	40.4318	0.233794	gb|PIN24641.1|Apoptotic ATPase [Handroanthus impetiginosus]	GO:0043531, GO:0006952	A0A2G9I4G6	
contig_1873	795	32.7278	132.527	ref|XP_011102163.2|putative late blight resistance protein homolog R1B-13 [Sesamum indicum]	GO:0043531, GO:0006952	A0A6I9V2Y8	
contig_1928	874	37.7354	5.68124	gb|EXB68335.1|Putative disease resistance protein RGA4 [Morus notabilis]	GO:0043531, GO:0006952	W9RT40	
contig_1986	1035	36.965	8.26324	gb|EEF27874.1|Disease resistance protein RPS2, putative [Ricinus communis]	GO:0043531, GO:0006952	B9T8E2	
contig_2921	634	36.965	4.6146	gb|ESR40622.1|hypothetical protein CICLE_v10027298mg, partial [Citrus clementina]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	V4SJ27	
contig_1953	540	38.5058	0.372697	sp|Q06395.1|RecName: Full=Major latex protein 149; Short=MLP 149 [Papaver somniferum]	GO:0031410, GO:0005773, GO:0006952	Q06395	
contig_1828	528	37.7354	1.50503	gb|PWA89345.1|leucine-rich repeat domain, L domain-like protein [Artemisia annua]	GO:0006952	A0A2U1PUD4	
contig_61	968	37.3502	9.9738	gb|PNY10309.1|neuroblastoma-amplified sequence [Trifolium pratense]	GO:0006890, GO:0015031, GO:0005783	A0A2K3P4V7	
contig_2276	663	34.6538	30.521	gb|RLM74545.1|hypothetical protein C2845_PM15G08100 [Panicum miliaceum]	GO:0000145, GO:0006893, GO:0006887	A0A3L6Q7A2	
contig_1449	606	35.4242	13.3377	ref|XP_007508654.1|AP-2 complex subunit mu-1 [Bathycoccus prasinos]	GO:0016192, GO:0030131, GO:0016020, GO:0005905, GO:0015031, GO:0006897, GO:0006886	K8EQD7	
contig_2770	864	38.1206	3.49782	ref|XP_025676290.1|protein transport protein Sec24-like At4g32640 [Arachis hypogaea]	GO:0008270, GO:0015031, GO:0006888, GO:0030127, GO:0006886	A0A6B9VGY8	
contig_669	651	39.2762	0.777033	gb|RXH70080.1|hypothetical protein DVH24_007336 [Malus domestica]	GO:0031267, GO:0006886	A0A498HH73	
contig_1278	641	36.1946	1.94335	gb|PIA34125.1|hypothetical protein AQUCO_03900206v1 [Aquilegia coerulea]	GO:0006869, GO:0008289	A0A2G5CS46	
contig_1465	662	214.927	7.06936E-64	gb|KAF1853617.1|hypothetical protein Lal_00030815 [Lupinus albus]	GO:0000166, GO:0042626, GO:0055085, GO:0016491, GO:0006865, GO:0005524, GO:0015821, GO:0005886	A0A6A5KVW2	
contig_2748	592	40.4318	0.258606	dbj|GBG63109.1|hypothetical protein CBR_g36596 [Chara braunii]	GO:0055085, GO:0016020, GO:0016021, GO:0006862	A0A388JZ75	
contig_136	854	277.715	4.29234E-91	gb|KAF1853007.1|hypothetical protein Lal_00009191 [Lupinus albus]	GO:0055085, GO:0015267, GO:0016020, GO:0016021, GO:0015250, GO:0006833, GO:0005886	A0A6A5KTU6	
contig_2079	563	49.2914	2.56269E-4	ref|XP_005851997.1|hypothetical protein CHLNCDRAFT_56435 [Chlorella variabilis]	GO:0055085, GO:1902476, GO:0016020, GO:0016021, GO:0006821, GO:0005247	E1Z1X9	
contig_1570	931	85.5001	1.19945E-15	gb|KZV42160.1|hypothetical protein F511_02362 [Dorcoceras hygrometricum]	GO:0016857, GO:0055085, GO:0016020, GO:0016021, GO:0006817, GO:0015150, GO:0022857, GO:0015756, GO:0015535	A0A2Z7CBV1	
contig_2563	674	92.0485	1.12177E-18	gb|KZV42160.1|hypothetical protein F511_02362 [Dorcoceras hygrometricum]	GO:0016857, GO:0055085, GO:0016020, GO:0016021, GO:0006817, GO:0015150, GO:0022857, GO:0015756, GO:0015535	A0A2Z7CBV1	
contig_617	573	78.5666	1.05944E-15	dbj|GFC79585.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0016020, GO:0016021, GO:0006817	A0A699R1W7	
contig_213	789	202.216	6.77908E-57	ref|XP_024360927.1|cation/H(+) antiporter 18-like [Physcomitrium patens]	GO:0006812, GO:0055085, GO:0015299, GO:0016020, GO:0016021, GO:1902600	A0A2K1ILZ7	
contig_222	604	70.8626	3.6012E-13	dbj|GFC88017.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0055085, GO:0006812, GO:0015299, GO:0016020, GO:0016021, GO:1902600	A0A699RSP3	
contig_2752	657	304.294	2.01258E-98	gb|KAF1853342.1|hypothetical protein Lal_00009708 [Lupinus albus]	GO:0006812, GO:0055085, GO:1902476, GO:0016020, GO:0098655, GO:0016021, GO:0005254, GO:0008324	A0A6A5L425	
contig_3380	527	251.906	1.05659E-78	gb|KAF1853342.1|hypothetical protein Lal_00009708 [Lupinus albus]	GO:0006812, GO:0055085, GO:1902476, GO:0016020, GO:0098655, GO:0016021, GO:0005254, GO:0008324	A0A6A5L425	
contig_568	657	58.5362	3.17989E-7	gb|KAF1855352.1|hypothetical protein Lal_00000722 [Lupinus albus]	GO:0055085, GO:0006812, GO:0016020, GO:0098655, GO:0016021, GO:0008324, GO:0022857	A0A6A5L9N0	
contig_963	976	340.502	5.51898E-105	gb|KAF1855208.1|hypothetical protein Lal_00037310 [Lupinus albus]	GO:0006812, GO:0055085, GO:0016020, GO:0098655, GO:0016021, GO:0008324, GO:0022857	A0A6A5L5D0	
contig_1089	551	205.297	1.09173E-58	gb|KAF1855352.1|hypothetical protein Lal_00000722 [Lupinus albus]	GO:0055085, GO:0006812, GO:0016020, GO:0098655, GO:0016021, GO:0008324, GO:0022857	A0A6A5L9N0	
contig_1495	570	62.7734	5.91347E-9	gb|KAF1855208.1|hypothetical protein Lal_00037310 [Lupinus albus]	GO:0006812, GO:0055085, GO:0016020, GO:0098655, GO:0016021, GO:0008324, GO:0022857	A0A6A5L5D0	
contig_1971	632	122.479	2.07439E-29	gb|KAF1857477.1|hypothetical protein Lal_00042796 [Lupinus albus]	GO:0006812, GO:0055085, GO:0098655, GO:0016020, GO:0016021, GO:0008324, GO:0022857	A0A6A5L7J6	
contig_1219	537	178.718	2.37896E-49	gb|KAF1853183.1|hypothetical protein Lal_00009543 [Lupinus albus]	GO:0055085, GO:0006812, GO:0015562, GO:0016020, GO:0098655, GO:0016021, GO:0008324, GO:0022857	A0A6A5L0V5	
contig_1450	846	471.47	1.92203E-153	gb|KAF1853129.1|hypothetical protein Lal_00009489 [Lupinus albus]	GO:0055085, GO:0006812, GO:0015562, GO:0098655, GO:0016020, GO:0016021, GO:0008324, GO:0022857	A0A6A5KWZ4	
contig_1564	555	96.2857	1.74571E-20	gb|KAF1853129.1|hypothetical protein Lal_00009489 [Lupinus albus]	GO:0055085, GO:0006812, GO:0015562, GO:0098655, GO:0016020, GO:0016021, GO:0008324, GO:0022857	A0A6A5KWZ4	
contig_3398	587	309.686	9.15183E-95	gb|KAF1853183.1|hypothetical protein Lal_00009543 [Lupinus albus]	GO:0055085, GO:0006812, GO:0015562, GO:0016020, GO:0098655, GO:0016021, GO:0008324, GO:0022857	A0A6A5L0V5	
contig_673	546	79.337	9.57913E-16	gb|OUS44611.1|cation efflux protein [Ostreococcus tauri]	GO:0055085, GO:0006812, GO:0016020, GO:0098655, GO:0016021, GO:0008324	A0A1Y5I589	
contig_93	964	90.1225	5.31915E-17	gb|KAF1857610.1|hypothetical protein Lal_00014621 [Lupinus albus]	GO:0000166, GO:0006812, GO:0046872, GO:0019829, GO:0098655, GO:0016020, GO:0016021, GO:0034220, GO:0005524, GO:0016887	A0A6A5LCP6	
contig_197	515	310.457	3.88781E-98	gb|KAF1853190.1|hypothetical protein Lal_00009550 [Lupinus albus]	GO:0000166, GO:0006812, GO:0046872, GO:0019829, GO:0098655, GO:0016020, GO:0016021, GO:0034220, GO:0005524, GO:0016887	A0A6A5KZG6	
contig_1399	632	327.405	6.30509E-104	gb|KAF1853190.1|hypothetical protein Lal_00009550 [Lupinus albus]	GO:0000166, GO:0006812, GO:0046872, GO:0019829, GO:0098655, GO:0016020, GO:0016021, GO:0034220, GO:0005524, GO:0016887	A0A6A5KZG6	
contig_2413	590	145.206	2.01726E-37	gb|KAF1857610.1|hypothetical protein Lal_00014621 [Lupinus albus]	GO:0000166, GO:0006812, GO:0046872, GO:0019829, GO:0098655, GO:0016020, GO:0016021, GO:0034220, GO:0005524, GO:0016887	A0A6A5LCP6	
contig_2829	553	130.183	2.62258E-32	gb|KAF1852243.1|hypothetical protein Lal_00000023 [Lupinus albus]	GO:0000166, GO:0006812, GO:0046872, GO:0019829, GO:0098655, GO:0016020, GO:0034220, GO:0016021, GO:0005524, GO:0016887	A0A6A5KY90	
contig_3372	588	263.462	5.50672E-82	gb|KAF1855868.1|hypothetical protein Lal_00001505 [Lupinus albus]	GO:0000166, GO:0006812, GO:0046872, GO:0019829, GO:0098655, GO:0016020, GO:0016021, GO:0034220, GO:0005524, GO:0016887	A0A6A5L793	
contig_775	583	192.971	1.73475E-54	gb|KAF1856567.1|hypothetical protein Lal_00012837 [Lupinus albus]	GO:0000166, GO:0006812, GO:0046872, GO:0016491, GO:0019829, GO:0016020, GO:0098655, GO:0034220, GO:0016021, GO:0005524, GO:0016887	A0A6A5L4S6	
contig_2500	566	269.626	7.07249E-81	gb|KAF1857513.1|hypothetical protein Lal_00042833 [Lupinus albus]	GO:0055085, GO:0006812, GO:0071421, GO:0005384, GO:0098655, GO:0016020, GO:0016021, GO:0008324, GO:0022857, GO:0030026	A0A6A5LD02	
contig_1265	608	55.4546	2.02467E-6	gb|KNA03330.1|hypothetical protein SOVF_210240 [Spinacia oleracea]	GO:0006812, GO:1903830, GO:0098655, GO:0016020, GO:0015693, GO:0008324, GO:0015095	A0A0K9Q7U4	
contig_1854	559	242.276	2.04545E-77	gb|KNA03330.1|hypothetical protein SOVF_210240 [Spinacia oleracea]	GO:0006812, GO:1903830, GO:0098655, GO:0016020, GO:0015693, GO:0008324, GO:0015095	A0A0K9Q7U4	
contig_860	523	276.944	8.72925E-91	gb|KAF1854455.1|hypothetical protein Lal_00011096, partial [Lupinus albus]	GO:0004427, GO:0016020, GO:0016021, GO:0009678, GO:1902600, GO:0006811	A0A6A5L4L3	
contig_1672	585	382.104	2.18304E-125	gb|KAF1853319.1|hypothetical protein Lal_00009684 [Lupinus albus]	GO:0004427, GO:0016020, GO:0016021, GO:0009678, GO:1902600, GO:0006811	A0A6A5KXQ8	
contig_1742	588	265.388	5.42639E-81	gb|KAF1853319.1|hypothetical protein Lal_00009684 [Lupinus albus]	GO:0004427, GO:0016020, GO:0016021, GO:0009678, GO:1902600, GO:0006811	A0A6A5KXQ8	
contig_1779	526	276.944	1.07095E-85	gb|KAF1853319.1|hypothetical protein Lal_00009684 [Lupinus albus]	GO:0004427, GO:0016020, GO:0016021, GO:0009678, GO:1902600, GO:0006811	A0A6A5KXQ8	
contig_1351	543	49.2914	1.98148E-4	gb|OUS44838.1|hypothetical protein BE221DRAFT_201108 [Ostreococcus tauri]	GO:0055085, GO:0015288, GO:0016020, GO:0016021, GO:0046930, GO:0006811	A0A1Y5I5N3	
contig_1500	548	36.965	2.76197	ref|XP_021298837.1|glutamate receptor 2.2-like [Herrania umbratica]	GO:0015276, GO:0016020, GO:0034220, GO:0016021, GO:0006811	A0A6J1BH45	
contig_1895	626	38.5058	1.43467	ref|XP_019258220.1|PREDICTED: potassium transporter 2-like [Nicotiana attenuata]	GO:0071805, GO:0006813, GO:0015079, GO:0016020, GO:0016021, GO:0006811, GO:0005886	A0A314LGI6	
contig_2964	811	139.428	5.79453E-36	gb|EEF27493.1|Low affinity potassium transport system protein kup, putative [Ricinus communis]	GO:0071805, GO:0006813, GO:0015079, GO:0016020, GO:0016021, GO:0006811, GO:0005886	B9T9H1	
contig_33	633	80.8777	6.4076E-15	gb|KAF1854506.1|hypothetical protein Lal_00015087 [Lupinus albus]	GO:0016746, GO:0006807, GO:0016020, GO:0016021, GO:0016410, GO:0016740, GO:0042158, GO:0016810, GO:0005886	A0A6A5L0Q3	
contig_698	743	297.745	2.86313E-95	gb|KAF1854506.1|hypothetical protein Lal_00015087 [Lupinus albus]	GO:0016746, GO:0006807, GO:0016020, GO:0016021, GO:0016410, GO:0016740, GO:0042158, GO:0016810, GO:0005886	A0A6A5L0Q3	
contig_1856	768	196.052	4.50041E-56	gb|KAF1854506.1|hypothetical protein Lal_00015087 [Lupinus albus]	GO:0016746, GO:0006807, GO:0016020, GO:0016021, GO:0016410, GO:0016740, GO:0042158, GO:0016810, GO:0005886	A0A6A5L0Q3	
contig_1302	767	56.6102	1.18857E-6	ref|YP_009472845.1|hypothetical protein [Caulerpa manorensis]	GO:0009507, GO:0006807, GO:0009007, GO:0032775, GO:0016740, GO:0008168, GO:0043414, GO:0044238, GO:0032259, GO:0009536, GO:0003676	A0A2P0QIB0	
contig_3008	856	407.142	1.19411E-133	gb|KAF1857574.1|hypothetical protein Lal_00014583 [Lupinus albus]	GO:0004668, GO:0006807, GO:0016020, GO:0016021, GO:0009446, GO:0016787, GO:0016810	A0A6A5L4T5	
contig_2395	700	177.948	1.07471E-51	gb|KAF1853137.1|hypothetical protein Lal_00009497 [Lupinus albus]	GO:0008152, GO:0008270, GO:0046872, GO:0003824, GO:0006807, GO:0009231, GO:0071704, GO:0008703, GO:0008835, GO:0016787	A0A6A5KUA1	
contig_1002	690	37.3502	2.73303	gb|PIN10132.1|Aspartate racemase [Handroanthus impetiginosus]	GO:0047661, GO:0016855, GO:0006807, GO:0036361, GO:0047689, GO:0016853	A0A2G9GY01	
contig_336	788	292.352	3.99644E-90	gb|KAF1856377.1|hypothetical protein Lal_00049232, partial [Lupinus albus]	GO:0000166, GO:0046872, GO:0006807, GO:0005524	A0A6A5L484	
contig_813	698	379.793	5.04111E-124	gb|KAF1856377.1|hypothetical protein Lal_00049232, partial [Lupinus albus]	GO:0000166, GO:0046872, GO:0006807, GO:0005524	A0A6A5L484	
contig_1610	530	205.297	2.61323E-64	gb|KAF1853336.1|hypothetical protein Lal_00009702 [Lupinus albus]	GO:0006801, GO:0016491, GO:0046872, GO:0019430, GO:0004784	A0A6A5KX97	
contig_841	512	150.599	3.65877E-42	dbj|GFC58352.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0009358, GO:0006799, GO:0008976	A0A699Q9B3	
contig_1613	518	124.02	2.32707E-32	dbj|GFC41790.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0009358, GO:0006799, GO:0008976	A0A699PK88	
contig_1820	538	138.658	2.18825E-35	gb|KAF1853823.1|hypothetical protein Lal_00007088 [Lupinus albus]	GO:0050896, GO:0003824, GO:0007165, GO:1901564, GO:0009881, GO:0016020, GO:0016021, GO:0006796, GO:0044238, GO:0009637	A0A6A5L2Q9	
contig_2784	823	117.472	5.6968E-27	gb|KAF1856521.1|hypothetical protein Lal_00049046 [Lupinus albus]	GO:0000287, GO:0005737, GO:0004427, GO:0046872, GO:0016020, GO:0016021, GO:0006796, GO:0016787, GO:0009536	A0A6A5L5S1	
contig_2037	559	271.552	6.37285E-85	gb|KAF1853350.1|hypothetical protein Lal_00009716 [Lupinus albus]	GO:0019419, GO:0016779, GO:0000166, GO:0005525, GO:0003824, GO:0003924, GO:0006790, GO:0004781, GO:0016740, GO:0005524	A0A6A5KZX6	
contig_2220	530	257.684	4.66317E-77	gb|KAF1856327.1|hypothetical protein Lal_00049328 [Lupinus albus]	GO:0006779, GO:0016491, GO:0050660, GO:0003824, GO:0019354, GO:0016740, GO:0032259, GO:0051536, GO:0008152, GO:0071949, GO:0016829, GO:0020037, GO:0043115, GO:0008168	A0A6A5L435	
